#,Job_ID,Reserved,v1: Lighting Electricity [kWh],s1: Electricity [kWh],s1: normalized,t1: Heating [kWh],t2: Cooling [kWh]
0,LHS-000422,,35195.472,93979.4805,0.0,172194.8800677178,21647.38951615592
0,LHS-000281,,18600.192,77384.2005,0.0,112693.05565333195,23103.867960238138
0,LHS-000421,,18600.192,110362.338,0.03454112666666668,31973.14387552833,40631.216459694166
0,LHS-000280,,63350.352,106378.848,0.02126282666666666,107631.33809442694,19405.69531287072
0,LHS-000420,,18600.192,87743.2905,0.0,63867.66112372861,17202.06288151261
0,LHS-000809,,18815.472,65926.368,0.0,201559.6464156789,4380.349788446751
0,LHS-000808,,86057.712,156081.07799999998,0.1869369266666666,10076.428718680972,61471.25362492111
0,LHS-000807,,35195.472,104338.5705,0.014461901666666672,166465.33681837498,10171.182175243472
0,LHS-000806,,101576.59199999999,160360.6005,0.20120200166666666,117743.58355666028,22949.937088030914
0,LHS-000805,,68386.03199999999,182767.2255,0.27589075166666666,24154.428104648723,99526.61340380696
0,LHS-000804,,101576.59199999999,193338.73799999998,0.3111291266666666,39128.02107327279,96045.95042766666
0,LHS-000803,,68386.03199999999,137529.1305,0.12509710166666665,53572.65576606,36673.02953043222
0,LHS-000289,,35195.472,71360.433,0.0,148974.8401441339,13320.094584111614
0,LHS-000802,,35626.032,128561.868,0.09520622666666667,7128.858476541166,58168.73432450445
0,LHS-000288,,52436.592,145372.428,0.1512414266666667,8033.466808463832,80399.00256535444
0,LHS-000050,,93227.472,176977.908,0.25659302666666667,67333.57580614917,47665.80973109195
0,LHS-000429,,35195.472,71360.433,0.0,91962.55817375195,8117.503568744778
0,LHS-000630,,51790.75199999999,98314.803,0.0,47981.973025135,34070.413029716394
0,LHS-000428,,102868.272,149979.16799999998,0.1665972266666666,114020.17931191751,27163.455019111527
0,LHS-000052,,68386.03199999999,172408.13549999997,0.2413604516666666,26222.86739997111,111362.66371654166
0,LHS-000632,,68386.03199999999,182767.2255,0.27589075166666666,12330.374012043749,66141.9070666439
0,LHS-000051,,18534.672000000002,41202.198000000004,0.0,114380.06046554583,9579.463966489666
0,LHS-000631,,33473.232,76501.728,0.0,235733.7604010761,6752.897243422667
0,LHS-000054,,68386.03199999999,149789.088,0.16596362666666664,29213.844560132504,48167.793479214444
0,LHS-000634,,35195.472,93979.4805,0.0,31881.960256923056,69692.95460369861
0,LHS-000053,,33473.232,76501.728,0.0,213235.79776580443,9583.958524989
0,LHS-000633,,51790.75199999999,155812.85549999998,0.1860428516666666,118114.41154174833,16409.743750566362
0,LHS-000056,,102868.272,195804.10799999998,0.3193470266666666,37621.406140541665,54995.485616844446
0,LHS-000636,,101576.59199999999,160360.6005,0.20120200166666666,29847.633827663332,86539.56692166583
0,LHS-000055,,35195.472,71360.433,0.0,154708.94038234084,16351.026338684722
0,LHS-000635,,101576.59199999999,205598.69549999997,0.3519956516666666,58897.773924019726,71345.42019987083
0,LHS-000058,,78288.912,141678.378,0.13892792666666665,27441.113274793195,58656.515068661385
0,LHS-000057,,51790.75199999999,155812.85549999998,0.1860428516666666,116748.74977066055,31894.23402832278
0,LHS-000841,,35195.472,93979.4805,0.0,43316.37302838278,14666.363434327444
